x,acc_reward
0,112.0
1,119.0
2,119.0
3,119.0
4,119.0
5,116.66666666666667
6,119.0
7,119.0
8,119.0
9,121.33333333333333
10,119.0
11,119.0
12,117.6
13,119.0
14,129.5
15,119.0
16,119.0
17,119.0
18,119.0
19,119.0
20,119.0
21,119.0
22,119.0
23,119.0
24,119.0
25,119.0
26,130.66666666666666
27,133.0
28,130.66666666666666
29,119.0
30,130.66666666666666
31,121.33333333333333
32,119.0
33,135.33333333333334
34,107.33333333333333
35,126.0
36,119.0
37,112.0
38,119.0
39,119.0
40,135.33333333333334
41,149.33333333333334
42,119.0
43,135.33333333333334
44,130.66666666666666
45,144.66666666666666
46,119.0
47,119.0
48,119.0
49,134.4
50,109.2
51,126.0
52,100.8
53,119.0
54,119.0
55,119.0
56,119.0
57,140.0
58,119.0
59,140.0
60,100.54545454545455
61,140.0
62,119.0
63,119.0
64,119.0
65,119.0
66,119.0
67,147.0
68,147.0
69,115.5
70,104.08695652173913
71,130.66666666666666
72,126.0
73,119.0
74,115.5
75,126.0
76,144.66666666666666
77,119.0
78,122.5
79,129.5
80,119.0
81,135.33333333333334
82,122.5
83,119.0
84,129.5
85,119.0
86,119.0
87,154.0
88,119.0
89,126.0
90,119.0
91,126.0
92,126.0
93,121.33333333333333
94,133.0
95,108.5
96,119.0
97,112.0
98,119.0
99,119.0
100,114.0
101,119.0
102,119.0
103,119.0
104,119.0
105,112.0
106,108.88888888888889
107,119.0
108,112.0
109,128.8
110,119.0
111,119.0
112,119.0
113,119.0
114,105.0
115,119.0
116,119.0
117,121.33333333333333
118,136.5
119,126.0
120,154.0
121,126.0
122,119.0
123,119.0
124,119.0
125,135.33333333333334
126,90.36363636363636
127,119.0
128,119.0
129,119.0
130,129.5
131,119.0
132,115.5
133,140.0
134,119.0
135,149.33333333333334
136,103.6
137,135.33333333333334
138,130.66666666666666
139,126.0
140,129.5
141,119.0
142,126.0
143,119.0
144,119.0
145,119.0
146,129.5
147,119.0
148,85.07692307692308
149,119.0
150,119.0
151,115.88888888888889
152,119.0
153,119.0
154,119.0
155,119.0
156,144.66666666666666
157,115.5
158,119.0
159,112.0
160,119.0
161,129.5
162,112.0
163,119.0
164,119.0
165,119.0
166,115.5
167,119.0
168,112.0
169,119.0
170,119.0
171,129.5
172,119.0
173,130.66666666666666
174,119.0
175,119.0
176,140.0
177,119.0
178,140.0
179,119.0
180,119.0
181,112.0
182,117.6
183,147.0
184,119.0
185,119.0
186,121.33333333333333
187,119.0
188,114.21052631578948
189,119.0
190,135.33333333333334
191,94.0
192,140.0
193,90.58823529411765
194,101.5
195,149.33333333333334
196,119.0
197,149.33333333333334
198,121.33333333333333
199,119.0
200,119.0
201,130.66666666666666
202,119.0
203,136.5
204,119.0
205,108.5
206,119.0
207,112.0
208,119.0
209,107.33333333333333
210,106.4
211,133.0
212,119.0
213,122.5
214,116.66666666666667
215,112.0
216,119.0
217,121.33333333333333
218,135.33333333333334
219,135.33333333333334
220,119.0
221,100.8
222,105.0
223,108.5
224,119.0
225,149.33333333333334
226,119.0
227,126.0
228,129.5
229,119.0
230,119.0
231,112.0
232,119.0
233,140.0
234,122.5
235,149.33333333333334
236,149.33333333333334
237,119.0
238,154.0
239,119.0
240,112.0
241,126.0
242,135.33333333333334
243,140.0
244,119.0
245,119.0
246,119.0
247,119.0
248,119.0
249,119.0
250,119.0
251,108.5
252,135.33333333333334
253,119.0
254,126.0
255,135.33333333333334
256,126.0
257,130.66666666666666
258,119.0
259,119.0
260,140.0
261,119.0
262,119.0
263,144.66666666666666
264,119.0
265,126.0
266,119.0
267,119.0
268,105.0
269,121.33333333333333
270,103.18518518518519
271,147.0
272,119.0
273,144.66666666666666
274,118.0
275,129.5
276,122.5
277,123.2
278,119.0
279,143.5
280,119.0
281,113.6470588235294
282,108.5
283,119.0
284,119.0
285,119.0
286,122.5
287,120.4
288,119.0
289,119.0
290,130.66666666666666
291,114.33333333333333
292,119.0
293,119.0
294,119.0
295,109.2
296,126.0
297,119.0
298,119.0
299,115.5
300,119.0
301,131.6
302,121.33333333333333
303,119.0
304,119.0
305,119.0
306,119.0
307,135.33333333333334
308,116.66666666666667
309,121.33333333333333
310,119.0
311,144.66666666666666
312,117.6
313,119.63636363636364
314,112.0
315,123.2
316,130.66666666666666
317,119.0
318,115.5
319,119.0
320,119.0
321,119.0
322,136.5
323,129.5
324,119.0
325,119.0
326,126.0
327,140.0
328,119.0
329,154.0
330,119.0
331,119.0
332,108.5
333,114.0
334,119.0
335,119.0
336,112.0
337,119.0
338,154.0
339,119.0
340,119.0
341,98.0
342,119.0
343,126.0
344,119.0
345,119.0
346,119.0
347,136.5
348,126.0
349,154.0
350,119.0
351,119.0
352,115.5
353,119.0
354,119.0
355,119.0
356,119.0
357,119.0
358,119.0
359,119.0
360,107.33333333333333
361,163.33333333333334
362,119.0
363,120.4
364,140.0
365,119.0
366,119.0
367,115.5
368,119.0
369,126.0
370,133.0
371,126.0
372,135.33333333333334
373,119.0
374,119.0
375,135.33333333333334
376,112.0
377,115.5
378,119.0
379,107.33333333333333
380,140.0
381,135.33333333333334
382,119.0
383,115.5
384,131.6
385,119.0
386,119.0
387,136.5
388,116.66666666666667
389,150.5
390,119.0
391,125.33333333333333
392,121.33333333333333
393,119.0
394,133.0
395,105.0
396,119.0
397,115.5
398,130.66666666666666
399,119.0
400,129.5
401,144.66666666666666
402,115.5
403,119.0
404,119.0
405,110.6
406,108.5
407,112.0
408,119.0
409,119.0
410,119.0
411,119.0
412,105.0
413,117.6
414,112.0
415,119.0
416,119.0
417,119.0
418,119.0
419,126.0
420,122.5
421,122.5
422,116.66666666666667
423,116.66666666666667
424,133.0
425,112.0
426,115.5
427,119.0
428,119.0
429,119.0
430,121.33333333333333
431,135.33333333333334
432,122.5
433,119.0
434,119.0
435,126.0
436,119.0
437,126.0
438,119.0
439,119.0
440,119.0
441,122.5
442,119.0
443,119.0
444,149.33333333333334
445,133.0
446,119.0
447,112.0
448,121.33333333333333
449,108.5
450,119.0
451,119.0
452,119.0
453,122.5
454,149.33333333333334
455,114.8
456,116.66666666666667
457,135.33333333333334
458,149.33333333333334
459,154.0
460,182.0
461,172.66666666666666
462,177.33333333333334
463,115.5
464,105.0
465,109.2
466,114.33333333333333
467,98.0
468,135.33333333333334
469,154.0
470,140.0
471,168.0
472,144.66666666666666
473,140.0
474,123.2
475,98.0
476,116.66666666666667
477,105.0
478,130.66666666666666
479,98.0
480,98.0
481,112.0
482,144.66666666666666
483,154.0
484,144.66666666666666
485,129.5
486,115.5
487,144.66666666666666
488,135.33333333333334
489,144.66666666666666
490,135.33333333333334
491,136.5
492,154.0
493,154.0
494,130.66666666666666
495,130.66666666666666
496,154.0
497,136.5
498,154.0
499,154.0
500,154.0
501,154.0
502,144.66666666666666
503,154.0
504,140.0
505,154.0
506,154.0
507,154.0
508,154.0
509,144.66666666666666
510,154.0
511,154.0
512,126.0
513,126.0
514,154.0
515,129.5
516,154.0
517,158.66666666666666
518,154.0
519,154.0
520,154.0
521,144.66666666666666
522,126.0
523,122.5
524,154.0
525,144.66666666666666
526,154.0
527,158.66666666666666
528,147.0
529,154.0
530,158.66666666666666
531,136.5
532,154.0
533,154.0
534,129.5
535,163.33333333333334
536,135.33333333333334
537,136.5
538,154.0
539,168.0
540,140.0
541,154.0
542,112.0
